source_file,canonical_id,participant_determination,commission_report_reference,structural_radius,exact_previous_representation,exact_new_representation,migration_basis,implementation_status,validation_status,reviewer,review_date,unresolved_issue
Reality_Mechanics/0_Ground/Invariant.md,ground.invariant,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Label.md,ground.label,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Natural Order.md,ground.natural-order,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Passage Condition.md,ground.passage-condition,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Primitive.md,ground.primitive,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Regenerate.md,ground.regenerate,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Root Order.md,ground.root-order,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Seed.md,ground.seed,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Structural Disorder.md,ground.structural-disorder,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Term.md,ground.term,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Term.md,ground.term,pd.v3.atlas-condition-header-removal,docs/reports/PD-006-stage-1b-canonical-source-migration.md,dependency,"- ""[[Atlas Condition Header]]""",ABSENT,Approved Phase 4 Determination 6 direct incoming frontmatter reference,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/0_Ground/Term.md,ground.term,pd.v3.atlas-condition-header-removal,docs/reports/PD-006-stage-1b-canonical-source-migration.md,dependency,- [[Atlas Condition Header]],ABSENT,Approved Phase 4 Determination 6 direct incoming body reference,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Asymmetry Conditions/Bounded Asymmetry.md,first.bounded-asymmetry,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Asymmetry Conditions/Distinction.md,first.distinction,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Asymmetry Conditions/Emergent Condition.md,first.emergent-condition,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Asymmetry Conditions/Resolved Asymmetry.md,first.resolved-asymmetry,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Asymmetry Conditions/Strained Asymmetry.md,first.strained-asymmetry,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Asymmetry.md,first.asymmetry,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Availability.md,first.availability,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Bearing.md,first.bearing,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Boundary Conditions/Allow.md,first.allow,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Boundary Conditions/Contact.md,first.contact,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Boundary Conditions/Operational Condition.md,first.operational-condition,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Boundary Conditions/Tact.md,first.tact,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Boundary Conditions/Threshold.md,first.threshold,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Boundary.md,first.boundary,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Apparent.md,first.apparent,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Attend.md,first.attend,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Carry.md,first.carry,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Divisible.md,first.divisible,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Enter.md,first.enter,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/In.md,first.in,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Indivisible.md,first.indivisible,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Invisible.md,first.invisible,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Not.md,first.not,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Notice.md,first.notice,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Operation Carrier.md,first.operation-carrier,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Orientation.md,first.orientation,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Out.md,first.out,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Place.md,first.place,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Polarity.md,first.polarity,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Primitive Carrier.md,first.primitive-carrier,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Read.md,first.read,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Structural Carrier.md,first.structural-carrier,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Thread.md,first.thread,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Trace.md,first.trace,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Carrier Mechanics/Visible.md,first.visible,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Clean.md,first.clean,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Connection.md,first.connection,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/First Order Crossing.md,first.first-order-crossing,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/First Order.md,first.first-order,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/One.md,first.one,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Other.md,first.other,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Posture.md,first.posture,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Ratio.md,first.ratio,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Relation Conditions/Clear.md,first.clear,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
Reality_Mechanics/1_First/Relation Conditions/Clearance.md,first.clearance,pd.v3.pre-provenance-baseline,docs/reports/PD-006-stage-1b-canonical-source-migration.md,constitutional,ABSENT,determination: pd.v3.pre-provenance-baseline,Approved Phase 4 Determination 4 with corrected 482-entry baseline,applied,passed-stage-1c,Codex (mechanical implementation review),2026-07-14,""
